bid_id,bid_number,bid_year,buyer_org,department,product_category,category_family,quantity,bid_type,evaluation_type,bid_start_date,bid_end_date,b_status,b_buyer_status,procurement_class,classification_status,classification_method,classification_confidence,pdf_review_status,bid_document_url,technical_spec_url,atc_url,boq_url,corrigendum_urls,eligibility_urls,catalogue_urls,other_document_urls,documents
1568738,GEM/2020/B/512270,2020,Ministry of Home Affairs,Central Armed Police Forces,Mobile Toilet,,2,2,0,2020-02-08 20:19:02+05:30,2020-02-12 19:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568738,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1599496""]","[{""document_id"": 16835, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568738"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16836, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1599496"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568790,GEM/2020/B/512320,2020,Ministry of Defence,Department of Defence,OEM Cartridge/ Consumable,,52,2,0,2020-02-04 16:02:48+05:30,2020-02-08 15:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568790,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1590418""]","[{""document_id"": 16339, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568790"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16340, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1590418"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568797,GEM/2020/B/512327,2020,Ministry of Home Affairs,Central Armed Police Forces,Office Suite Software (Version 2.0),,40,2,0,2020-03-02 22:43:29+05:30,2020-03-06 22:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568797,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1640946""]","[{""document_id"": 18791, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568797"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 18792, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1640946"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568845,GEM/2020/B/512367,2020,Ministry of Defence,Department of Defence,OEM Cartridge/ Consumable,,77,2,0,2020-02-04 16:09:35+05:30,2020-02-08 15:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568845,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1590436""]","[{""document_id"": 16337, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568845"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16338, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1590436"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568874,GEM/2020/B/512393,2020,Ministry of Urban Development,NA,Steel Tables,,32,2,0,2020-02-04 20:36:12+05:30,2020-02-08 20:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568874,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1591500""]","[{""document_id"": 16393, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568874"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16394, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1591500"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568881,GEM/2020/B/512398,2020,Ministry of Coal,Materials Management,Television TV,,3,2,0,2020-04-13 18:30:27+05:30,2020-04-17 17:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568881,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1690230""]","[{""document_id"": 20793, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568881"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 20794, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1690230"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568900,GEM/2020/B/512416,2020,Ministry of Defence,Department of Defence,OEM Cartridge/ Consumable,,86,2,0,2020-02-04 16:19:28+05:30,2020-02-08 15:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568900,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1590477""]","[{""document_id"": 16333, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568900"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16334, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1590477"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568910,GEM/2020/B/512425,2020,Ministry of Home Affairs,Central Armed Police Forces,T - Shirt Round Neck Disruptive Pattern - MHA,,35111,2,0,2020-02-27 18:42:43+05:30,2020-03-03 16:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568910,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1632279""]","[{""document_id"": 18519, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568910"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 18520, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1632279"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568963,GEM/2020/B/512473,2020,Ministry of Defence,Department of Defence,OEM Cartridge/ Consumable,,88,2,0,2020-02-04 16:27:14+05:30,2020-02-08 15:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568963,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1590515""]","[{""document_id"": 16331, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568963"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16332, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1590515"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568969,GEM/2020/B/512478,2020,,Urban Development Department Uttar Pradesh,plastic buckets,,5000,2,0,2020-02-05 01:21:30+05:30,2020-02-09 00:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568969,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1592399""]","[{""document_id"": 16433, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568969"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16434, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1592399"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
